Site:,GorstenN2,6875,tonnes,118,days,2832,timesteps,,
3,4,4,3,85,9,mg,ug,ug,
Day,Time,A-Chem(fd)ug/d,A-Chem(fae)ug/d,A-FI(kg/d for farm),,,,,
#NAME?,551,0,30010589,6076
#NAME?,552,0,30010589,6076
#NAME?,553,0,29438290,6076
#NAME?,554,0,29438290,6076
#NAME?,555,0,29438290,6076
#NAME?,556,0,29438290,6076
#NAME?,557,0,29438290,6076
#NAME?,558,0,29438290,6076
#NAME?,559,0,29438290,6076
#NAME?,560,0,29438290,6076
#NAME?,561,0,29438290,6076
#NAME?,562,0,29438290,6076
#NAME?,563,0,29438290,6076
#NAME?,564,0,29438290,6076
#NAME?,565,0,29438290,6076
#NAME?,566,0,29438290,6076
#NAME?,567,0,29438290,6076
#NAME?,568,0,29438290,6076
#NAME?,569,0,29438290,6076
#NAME?,570,0,29438290,6076
#NAME?,571,0,29438290,6076
#NAME?,572,0,29438290,6076
#NAME?,573,0,29438290,6076
#NAME?,574,0,29438290,6076
#NAME?,575,0,29438290,6076
#NAME?,576,0,29438290,6076
#NAME?,577,0,28876904,6076
#NAME?,578,0,28876904,6076
#NAME?,579,0,28876904,6076
#NAME?,580,0,28876904,6076
#NAME?,581,0,28876904,6076
#NAME?,582,0,28876904,6076
#NAME?,583,0,28876904,6076
#NAME?,584,0,28876904,6076
#NAME?,585,0,28876904,6076
#NAME?,586,0,28876904,6076
#NAME?,587,0,28876904,6076
#NAME?,588,0,28876904,6076
#NAME?,589,0,28876904,6076
#NAME?,590,0,28876904,6076
#NAME?,591,0,28876904,6076
#NAME?,592,0,28876904,6076
#NAME?,593,0,28876904,6076
#NAME?,594,0,28876904,6076
#NAME?,595,0,28876904,6076
#NAME?,596,0,28876904,6076
#NAME?,597,0,28876904,6076
#NAME?,598,0,28876904,6076
#NAME?,599,0,28876904,6076
#NAME?,600,0,28876904,6076
#NAME?,601,0,28326224,6076
#NAME?,602,0,28326224,6076
#NAME?,603,0,28326224,6076
#NAME?,604,0,28326224,6076
#NAME?,605,0,28326224,6076
#NAME?,606,0,28326224,6076
#NAME?,607,0,28326224,6076
#NAME?,608,0,28326224,6076
#NAME?,609,0,28326224,6076
#NAME?,610,0,28326224,6076
#NAME?,611,0,28326224,6076
#NAME?,612,0,28326224,6076
#NAME?,613,0,28326224,6076
#NAME?,614,0,28326224,6076
#NAME?,615,0,28326224,6076
#NAME?,616,0,28326224,6076
#NAME?,617,0,28326224,6076
#NAME?,618,0,28326224,6076
#NAME?,619,0,28326224,6076
#NAME?,620,0,28326224,6076
#NAME?,621,0,28326224,6076
#NAME?,622,0,28326224,6076
#NAME?,623,0,28326224,6076
#NAME?,624,0,28326224,6076
#NAME?,625,0,27786046,6076
#NAME?,626,0,27786046,6076
#NAME?,627,0,27786046,6076
#NAME?,628,0,27786046,6076
#NAME?,629,0,27786046,6076
#NAME?,630,0,27786046,6076
#NAME?,631,0,27786046,6076
#NAME?,632,0,27786046,6076
#NAME?,633,0,27786046,6076
#NAME?,634,0,27786046,6076
#NAME?,635,0,27786046,6076
#NAME?,636,0,27786046,6076
#NAME?,637,0,27786046,6076
#NAME?,638,0,27786046,6076
#NAME?,639,0,27786046,6076
#NAME?,640,0,27786046,6076
#NAME?,641,0,27786046,6076
#NAME?,642,0,27786046,6076
#NAME?,643,0,27786046,6076
#NAME?,644,0,27786046,6076
#NAME?,645,0,27786046,6076
#NAME?,646,0,27786046,6076
#NAME?,647,0,27786046,6076
#NAME?,648,0,27786046,6076
#NAME?,649,0,27256168,6076
#NAME?,650,0,27256168,6076
#NAME?,651,0,27256168,6076
#NAME?,652,0,27256168,6076
#NAME?,653,0,27256168,6076
#NAME?,654,0,27256168,6076
#NAME?,655,0,27256168,6076
#NAME?,656,0,27256168,6076
#NAME?,657,0,27256168,6076
#NAME?,658,0,27256168,6076
#NAME?,659,0,27256168,6076
#NAME?,660,0,27256168,6076
#NAME?,661,0,27256168,6076
#NAME?,662,0,27256168,6076
#NAME?,663,0,27256168,6076
#NAME?,664,0,27256168,6076
#NAME?,665,0,27256168,6076
#NAME?,666,0,27256168,6076
#NAME?,667,0,27256168,6076
#NAME?,668,0,27256168,6076
#NAME?,669,0,27256168,6076
#NAME?,670,0,27256168,6076
#NAME?,671,0,27256168,6076
#NAME?,672,0,27256168,6076
#NAME?,673,0,26736395,6076
#NAME?,674,0,26736395,6076
#NAME?,675,0,26736395,6076
#NAME?,676,0,26736395,6076
#NAME?,677,0,26736395,6076
#NAME?,678,0,26736395,6076
#NAME?,679,0,26736395,6076
#NAME?,680,0,26736395,6076
#NAME?,681,0,26736395,6076
#NAME?,682,0,26736395,6076
#NAME?,683,0,26736395,6076
#NAME?,684,0,26736395,6076
#NAME?,685,0,26736395,6076
#NAME?,686,0,26736395,6076
#NAME?,687,0,26736395,6076
#NAME?,688,0,26736395,6076
#NAME?,689,0,26736395,6076
#NAME?,690,0,26736395,6076
#NAME?,691,0,26736395,6076
#NAME?,692,0,26736395,6076
#NAME?,693,0,26736395,6076
#NAME?,694,0,26736395,6076
#NAME?,695,0,26736395,6076
#NAME?,696,0,26736395,6076
#NAME?,697,0,26226535,6076
#NAME?,698,0,26226535,6076
#NAME?,699,0,26226535,6076
#NAME?,700,0,26226535,6076
#NAME?,701,0,26226535,6076
#NAME?,702,0,26226535,6076
#NAME?,703,0,26226535,6076
#NAME?,704,0,26226535,6076
#NAME?,705,0,26226535,6076
#NAME?,706,0,26226535,6076
#NAME?,707,0,26226535,6076
#NAME?,708,0,26226535,6076
#NAME?,709,0,26226535,6076
#NAME?,710,0,26226535,6076
#NAME?,711,0,26226535,6076
#NAME?,712,0,26226535,6076
#NAME?,713,0,26226535,6076
#NAME?,714,0,26226535,6076
#NAME?,715,0,26226535,6076
#NAME?,716,0,26226535,6076
#NAME?,717,0,26226535,6076
#NAME?,718,0,26226535,6076
#NAME?,719,0,26226535,6076
#NAME?,720,0,26226535,6076
#NAME?,721,0,25726397,6076
#NAME?,722,0,25726397,6076
#NAME?,723,0,25726397,6076
#NAME?,724,0,25726397,6076
#NAME?,725,0,25726397,6076
#NAME?,726,0,25726397,6076
#NAME?,727,0,25726397,6076
#NAME?,728,0,25726397,6076
#NAME?,729,0,25726397,6076
#NAME?,730,0,25726397,6076
#NAME?,731,0,25726397,6076
#NAME?,732,0,25726397,6076
#NAME?,733,0,25726397,6076
#NAME?,734,0,25726397,6076
#NAME?,735,0,25726397,6076
#NAME?,736,0,25726397,6076
#NAME?,737,0,25726397,6076
